BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by P R O Links Realty Inc","Condo for sale",485000,1,575,"62-96 Woodhaven Blvd Unit 5R","Rego Park, NY 11374","62-96 Woodhaven Blvd Unit 5R, Rego Park, NY 11374","New York","Queens County",Queens,"Middle Village",62-96,"62-96 Woodhaven Blvd #5f, Middle Village, NY 11379, USA",40.7245332,-73.8696876
"Brokered by BEN BAY REALTY, CO.",Pending,625000,2,1040,"108 Howton Ave","Staten Island, NY 10308","108 Howton Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Howton Avenue","108 Howton Ave, Staten Island, NY 10308, USA",40.557402,-74.148792
"Brokered by Douglas Elliman  -111 Fifth Ave","Townhouse for sale",7550000,5,2161,"48 Charles St","New York, NY 10014","48 Charles St, New York, NY 10014","United States","New York","New York County","New York","Charles Street","48 Charles St, New York, NY 10014, USA",40.7348673,-74.0023636
"Brokered by COMPASS",Pending,499000,2,1358,"7272 Royce Pl Unit G1-9","Brooklyn, NY 11234","7272 Royce Pl Unit G1-9, Brooklyn, NY 11234","New York","Kings County",Brooklyn,"Bergen Beach",7272,"7272 Royce Pl G1, Brooklyn, NY 11234, USA",40.6248278,-73.909396
"Brokered by Nest Seekers International, Midtown","Condo for sale",399000,2.5,2191,"30-38 29th St","Queens, NY 11102","30-38 29th St, Queens, NY 11102","United States","New York","Queens County",Queens,"29th Street","30-38 29th St, Queens, NY 11102, USA",40.7668236,-73.9239725
"Brokered by Chous Realty Group Inc","Co-op for sale",299000,1,2185,"144-44 41st Ave Unit 6A","Flushing, NY 11355","144-44 41st Ave Unit 6A, Flushing, NY 11355","New York","Queens County",Queens,Flushing,144-44,"144-44 41st Ave #6a, Flushing, NY 11355, USA",40.7607762,-73.8197115
"Brokered by Donna Demkowicz R E Corp","Multi-family home for sale",2200000,6,2189,"6402 Fresh Pond Rd","Ridgewood, NY 11385","6402 Fresh Pond Rd, Ridgewood, NY 11385","United States","New York","Queens County",Queens,"Fresh Pond Road","6402 Fresh Pond Rd, Ridgewood, NY 11385, USA",40.7101745,-73.8995452
"Brokered by Century Homes Realty Group LLC","Condo for sale",465000,2,708,"104-21 39th Ave Unit 212D","Corona, NY 11368","104-21 39th Ave Unit 212D, Corona, NY 11368","New York","Queens County",Queens,Corona,10421,"10421 39th Ave #212D, Corona, NY 11368, USA",40.7511218,-73.8614488
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","Co-op for sale",278000,1,750,"138-28 68th Dr Unit 1A","Flushing, NY 11367","138-28 68th Dr Unit 1A, Flushing, NY 11367","New York","Queens County",Queens,Flushing,138-28,"138-28 68th Dr #1a, Flushing, NY 11367, USA",40.7306353,-73.8276823
"Brokered by Corcoran Park Slope",Pending,709000,3,2183,"1249 E 87th St","Brooklyn, NY 11236","1249 E 87th St, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"East 87th Street","1249 E 87th St, Brooklyn, NY 11236, USA",40.6330746,-73.9014669
"Brokered by RE MAX 1st Choice","Condo for sale",685000,2,2169,"64-34 Grand Central Pkwy Unit 1B","Forest Hills, NY 11375","64-34 Grand Central Pkwy Unit 1B, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",64-34,"64-34 Grand Central Pkwy #1b, Forest Hills, NY 11375, USA",40.7332174,-73.8448704
"Brokered by BEN BAY REALTY, CO.","Multi-family home for sale",779000,2,1540,"2369 Bragg St","Brooklyn, NY 11229","2369 Bragg St, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"Bragg Street","2369 Bragg St, Brooklyn, NY 11229, USA",40.5949347,-73.9347766
"Brokered by Citywide Deals","Condo for sale",1899000,2,1900,"105 Oceana Dr E Ph 1D","Brooklyn, NY 11235","105 Oceana Dr E Ph 1D, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Brighton Beach",105,"105 Oceana Dr E Ph 1D, Brooklyn, NY 11235, USA",40.5763957,-73.9575654
"Brokered by Jadestone Development Realty Llc","House for sale",599900,2,1204,"3774 Hylan Blvd","Staten Island, NY 10308","3774 Hylan Blvd, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Hylan Boulevard","3774 Hylan Blvd, Staten Island, NY 10308, USA",40.5466066,-74.1406837
"Brokered by Corcoran East Side","Townhouse for sale",22500000,2.5,4000,"22 Bank St","New York, NY 10014","22 Bank St, New York, NY 10014","United States","New York","New York County","New York","Bank Street","22 Bank St, New York, NY 10014, USA",40.7368312,-74.0024003
"Brokered by Kaloshi Real Estate Inc","House for sale",739000,2,1473,"19 Alton Pl","Brooklyn, NY 11210","19 Alton Pl, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"Alton Place","19 Alton Pl, Brooklyn, NY 11210, USA",40.6241803,-73.9375665
"Brokered by Douglas Elliman - 1995 Broadway","Condo for sale",7995000,4,2191,"101 W 67th St Ph 1D","New York, NY 10023","101 W 67th St Ph 1D, New York, NY 10023","New York","New York County","New York",Manhattan,101,"101 W 67th St Ph 1D, New York, NY 10023, USA",40.7745073,-73.981428
"Brokered by COMPASS","Co-op for sale",1425000,2,2200,"124 Thompson St Unit 23/24","Manhattan, NY 10012","124 Thompson St Unit 23/24, Manhattan, NY 10012","New York","New York County","New York",Manhattan,124,"124 Thompson St #23, New York, NY 10012, USA",40.7261696,-74.0013901
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Condo for sale",950000,1,560,"323 E 53rd Street Ter Ste B","New York, NY 10022","323 E 53rd Street Ter Ste B, New York, NY 10022","United States","New York","New York County","New York","East 53rd Street","323 E 53rd St, New York, NY 10022, USA",40.7564316,-73.9660912
"Brokered by Douglas Elliman - Huntington",Pending,399000,1,2185,"6939A Park Dr E Unit A","Kew Garden Hills, NY 11367","6939A Park Dr E Unit A, Kew Garden Hills, NY 11367","United States","New York","Queens County",Queens,"Park Drive East","6939 Park Dr E, Flushing, NY 11367, USA",40.7231998,-73.8267722
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",1460000,2,2177,"1060 Park Avenue Ave Unit 2G","Manhattan, NY 10128","1060 Park Avenue Ave Unit 2G, Manhattan, NY 10128","New York","New York County","New York",Manhattan,1060,"1060 Park Ave #2b, New York, NY 10128, USA",40.7812136,-73.9570373
"Brokered by Showcase Realty Inc","Co-op for sale",269000,1,2160,"144-11 Sanford Ave Unit 6L","Flushing, NY 11355","144-11 Sanford Ave Unit 6L, Flushing, NY 11355","New York","Queens County",Queens,Flushing,144-11,"144-11 Sanford Ave #6c, Flushing, NY 11355, USA",40.7592939,-73.8203855
"Brokered by COMPASS","Co-op for sale",155000,1,2192,"1275 E 51st St Apt 5Z","Brooklyn, NY 11234","1275 E 51st St Apt 5Z, Brooklyn, NY 11234","New York","Kings County",Brooklyn,Flatlands,1275,"1275 E 51st St #5c, Brooklyn, NY 11234, USA",40.6299057,-73.9265933
"Brokered by Compass Greater NY LLC","Co-op for sale",449000,1,764,"261-36 Langston Ave Unit 2ND","Glen Oaks, NY 11004","261-36 Langston Ave Unit 2ND, Glen Oaks, NY 11004","New York","Queens County",Queens,"Glen Oaks",261-36,"261-36 Langston Ave #2, Glen Oaks, NY 11004, USA",40.7526861,-73.7166669
"Brokered by Corcoran Park Avenue South",Pending,825000,2,930,"41-18 27th St Apt 1A","New York, NY 11101","41-18 27th St Apt 1A, New York, NY 11101","New York","Queens County",Queens,"Long Island City",41-18,"41-18 27th St #1a, Long Island City, NY 11101, USA",40.7515161,-73.9389442
"Brokered by RE MAX Real Estate Professionals","House for sale",1499000,2.5,2088,"1914 Bay Ridge Ave","Brooklyn, NY 11204","1914 Bay Ridge Ave, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"Bay Ridge Avenue","1914 Bay Ridge Ave, Brooklyn, NY 11204, USA",40.6151781,-73.9901308
"Brokered by J. Sikar Realty","Co-op for sale",300000,1,800,"2620 Ocean Pkwy Apt 3F","Brooklyn, NY 11235","2620 Ocean Pkwy Apt 3F, Brooklyn, NY 11235","New York","Kings County",Brooklyn,Gravesend,2620,"2620 Ocean Pkwy #3f, Brooklyn, NY 11235, USA",40.5860215,-73.9668364
"Brokered by Corcoran East Side","Condo for sale",1100000,2,2166,"77 W 55th St # 2AK","New York, NY 10019","77 W 55th St # 2AK, New York, NY 10019","New York","New York County","New York",Manhattan,77,"77 W 55th St #2a, New York, NY 10019, USA",40.7630485,-73.9776229
"Brokered by COMPASS","Condo for sale",425000,1,603,"640 Ditmas Ave Apt 29","Brooklyn, NY 11218","640 Ditmas Ave Apt 29, Brooklyn, NY 11218","New York","Kings County",Brooklyn,Kensington,640,"640 Ditmas Ave APT 29, Brooklyn, NY 11218, USA",40.6360061,-73.971649
"Brokered by COMPASS","Co-op for sale",280000,1,2185,"25 Tudor City Pl Apt 2006","Manhattan, NY 10017","25 Tudor City Pl Apt 2006, Manhattan, NY 10017","United States","New York","New York County","New York","Tudor City Place","25 Tudor City Pl, New York, NY 10017, USA",40.7486808,-73.9705383
"Brokered by RE MAX Edge","House for sale",1149000,2,1660,"1714 E 29th St","Brooklyn, NY 11229","1714 E 29th St, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"East 29th Street","1714 E 29th St, Brooklyn, NY 11229, USA",40.6093215,-73.9448683
"Brokered by The Co-op Connection","Co-op for sale",410000,2,2171,"110-55 72nd Rd Unit 309","Forest Hills, NY 11375","110-55 72nd Rd Unit 309, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",11055,"11055 72nd Rd Apt 309, Forest Hills, NY 11375, USA",40.7203199,-73.84052
"Brokered by Sany Realty Group Llc","Co-op for sale",268000,1,660,"26-25 141 St Unit 5A","Flushing, NY 11354","26-25 141 St Unit 5A, Flushing, NY 11354","New York","Queens County",Queens,Flushing,26-25,"26-25 141st St #5a, Flushing, NY 11354, USA",40.7739672,-73.8277862
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",4650000,3,2176,"150 Central Park S","New York, NY 10019","150 Central Park S, New York, NY 10019","United States","New York","New York County","New York","Central Park South","150 Central Park S, New York, NY 10019, USA",40.7661258,-73.9779145
"Brokered by Corcoran East Side","House for sale",24500000,8,8400,"52 E 66th St","New York, NY 10065","52 E 66th St, New York, NY 10065","United States","New York","New York County","New York","East 66th Street","52 E 66th St, New York, NY 10065, USA",40.7675628,-73.967656
"Brokered by Jamie & Connie Real Estate Grp","Condo for sale",660000,2,970,"82-25 Queens Blvd Unit 4A","Elmhurst, NY 11373","82-25 Queens Blvd Unit 4A, Elmhurst, NY 11373","New York","Queens County",Queens,Elmhurst,82-25,"82-25 Queens Blvd #4a, Elmhurst, NY 11373, USA",40.7376925,-73.8803546
"Brokered by Nest Seekers International, Midtown","Condo for sale",1175000,2,1072,"90 William St Apt 6C","New York, NY 10038","90 William St Apt 6C, New York, NY 10038","New York","New York County","New York",Manhattan,90,"90 William St #6c, New York, NY 10038, USA",40.7081041,-74.0074731
"Brokered by Corcoran Park Slope",Pending,5250000,4,2186,"18 Fillmore Pl","Brooklyn, NY 11211","18 Fillmore Pl, Brooklyn, NY 11211","United States","New York","Kings County",Brooklyn,"Fillmore Place","18 Fillmore Pl, Brooklyn, NY 11211, USA",40.7140169,-73.9587962
"Brokered by Century 21 Realty First","House for sale",1078000,2,1260,"5848 150th St","Flushing, NY 11355","5848 150th St, Flushing, NY 11355","United States","New York","Queens County",Queens,"150th Street","58-48 150th St, Flushing, NY 11355, USA",40.7421583,-73.8191116
"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC","Co-op for sale",349000,1,652,"8301 Ridge Blvd Apt 4D","Brooklyn, NY 11209","8301 Ridge Blvd Apt 4D, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",8301,"8301 Ridge Blvd #4d, Brooklyn, NY 11209, USA",40.6259955,-74.0323073
"Brokered by RE MAX Edge","Multi-family home for sale",1590000,4,1739,"144 Bay 50th St","Brooklyn, NY 11214","144 Bay 50th St, Brooklyn, NY 11214",11214,"United States","New York","Kings County","Bay 50th Street","144 Bay 50th St, Brooklyn, NY 11214, USA",40.5859774,-73.9869629
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",4650000,3,2206,"150 Central Park S","New York, NY 10019","150 Central Park S, New York, NY 10019","United States","New York","New York County","New York","Central Park South","150 Central Park S, New York, NY 10019, USA",40.7661258,-73.9779145
"Brokered by COMPASS","Condo for sale",425000,1,603,"640 Ditmas Ave Apt 29","Brooklyn, NY 11218","640 Ditmas Ave Apt 29, Brooklyn, NY 11218","New York","Kings County",Brooklyn,Kensington,640,"640 Ditmas Ave APT 29, Brooklyn, NY 11218, USA",40.6360061,-73.971649
"Brokered by R New York",Contingent,375000,1,900,"10 Bay Street Lndg Apt 1G","Staten Island, NY 10301","10 Bay Street Lndg Apt 1G, Staten Island, NY 10301","New York","Richmond County","Staten Island","Mid Island",10,"10 Bay Street Landing #1b, Staten Island, NY 10301, USA",40.638118,-74.073964
"Brokered by Corcoran Brooklyn Heights","Multi-family home for sale",6999000,3,2189,"108 Willow St","Brooklyn, NY 11201","108 Willow St, Brooklyn, NY 11201","United States","New York","Kings County",Brooklyn,"Willow Street","108 Willow St, Brooklyn, NY 11201, USA",40.697795,-73.995861
"Brokered by Peace Of Mind Realty","House for sale",750000,2,1868,"857 E 37th St","East Flatbush, NY 11203","857 E 37th St, East Flatbush, NY 11203","United States","New York","Kings County",Brooklyn,"East 37th Street","857 E 37th St, Brooklyn, NY 11210, USA",40.6359284,-73.9409763
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",12500000,6,7500,"64 E 7th St","New York, NY 10003","64 E 7th St, New York, NY 10003","United States","New York","New York County","New York","East 7th Street","64 E 7th St, New York, NY 10003, USA",40.7273703,-73.9870777
"Brokered by Century 21 Zaloom Realty","House for sale",699900,2,1420,"22 Oakville St","Staten Island, NY 10314","22 Oakville St, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Oakville Street","22 Oakville St, Staten Island, NY 10314, USA",40.5986989,-74.1318297
"Brokered by Realty Connect Usa L I Inc","Co-op for sale",519000,2,1079,"110-35 72 Rd Unit 108","Forest Hills, NY 11375","110-35 72 Rd Unit 108, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",11035,"11035 72nd Rd Apt 108, Forest Hills, NY 11375, USA",40.7203199,-73.84052
"Brokered by REO First Choice Realty LLC.",Pending,1200000,2.5,3280,"1176 Bushwick Ave","Brooklyn, NY 11221","1176 Bushwick Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Bushwick Avenue","1176 Bushwick Ave, Brooklyn, NY 11221, USA",40.688515,-73.916949
"Brokered by E Z Sell Realty","Co-op for sale",279000,1,2181,"61-20 Grand Central Pkwy Unit C500","Forest Hills, NY 11375","61-20 Grand Central Pkwy Unit C500, Forest Hills, NY 11375","United States","New York","Queens County",Queens,"Grand Central Parkway","61-20 Grand Central Pkwy, Forest Hills, NY 11375, USA",40.7379227,-73.8470718
"Brokered by Telemundo Realty Corp","Multi-family home for sale",1325000,4,2194,"29-11 Butler St","East Elmhurst, NY 11369","29-11 Butler St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"Butler Street","29-11 Butler St, Flushing, NY 11369, USA",40.7635384,-73.8628798
"Brokered by Weichert Realtors Evolution Group","House for sale",635000,2,1684,"57 Peacock Loop","Staten Island, NY 10309","57 Peacock Loop, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Peacock Loop","57 Peacock Loop, Staten Island, NY 10309, USA",40.5307866,-74.2217959
"Brokered by Tom Crimmins Realty, Ltd.",Contingent,499000,2,1450,"173 Wright St","Staten Island, NY 10304","173 Wright St, Staten Island, NY 10304","United States","New York","Richmond County","Staten Island","Wright Street","173 Wright St, Staten Island, NY 10304, USA",40.629123,-74.0811056
"Brokered by COMPASS","Co-op for sale",550000,2,1012,"333 E 119th St Apt 6C","Manhattan, NY 10035","333 E 119th St Apt 6C, Manhattan, NY 10035","New York","New York County","New York",Manhattan,333,"333 E 119th St #6c, New York, NY 10035, USA",40.7986288,-73.9351095
"Brokered by Charles Rutenberg Realty Inc","Co-op for sale",518000,2,2166,"3304 Junction Blvd Apt 4S","Jackson Heights, NY 11372","3304 Junction Blvd Apt 4S, Jackson Heights, NY 11372","New York","Queens County",Queens,"Jackson Heights",3304,"3304 Junction Blvd #4d, Jackson Heights, NY 11372, USA",40.7568027,-73.8736566
"Brokered by Serhant","Townhouse for sale",26000000,6,10940,"23 E 67th St","New York, NY 10065","23 E 67th St, New York, NY 10065","United States","New York","New York County","New York","East 67th Street","23 E 67th St, New York, NY 10065, USA",40.7688699,-73.9678746
"Brokered by Brown Harris Stevens","Condo for sale",1250000,2,1057,"575 4th Ave Apt 10D","Brooklyn, NY 11215","575 4th Ave Apt 10D, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"4th Avenue","575 4th Ave, Brooklyn, NY 11215, USA",40.6655513,-73.9922171
"Brokered by Douglas Elliman - 575 Madison Ave","Townhouse for sale",8750000,4,4275,"133 E 91st St","New York, NY 10128","133 E 91st St, New York, NY 10128","United States","New York","New York County","New York","East 91st Street","133 E 91st St, New York, NY 10128, USA",40.7829849,-73.9535589
"Brokered by COMPASS","Co-op for sale",469000,1,2186,"21-41 34th Ave Unit 5D","Astoria, NY 11106","21-41 34th Ave Unit 5D, Astoria, NY 11106","New York","Queens County",Queens,Astoria,21-41,"21-41 34th Ave #5d, Astoria, NY 11106, USA",40.7623991,-73.9321744
"Brokered by E Realty International Corp","Multi-family home for sale",1960000,7,2169,"71-60 163rd St","Fresh Meadows, NY 11365","71-60 163rd St, Fresh Meadows, NY 11365","United States","New York","Queens County",Queens,"163rd Street","71-60 163rd St, Flushing, NY 11365, USA",40.7286837,-73.8065818
"Brokered by Compass Greater Ny, Llc",Pending,799000,2,1560,"62 Daleham St","Brooklyn, NY 10308","62 Daleham St, Brooklyn, NY 10308","United States","New York","Richmond County","Staten Island","Daleham Street","62 Daleham St, Staten Island, NY 10308, USA",40.5642806,-74.1530498
"Brokered by Coldwell Banker American Homes","Multi-family home for sale",949000,3,2206,"4551 Kings Hwy","Brooklyn, NY 11234","4551 Kings Hwy, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Kings Highway","4551 Kings Hwy, Brooklyn, NY 11234, USA",40.6290233,-73.9330774
"Brokered by Integrity Core Realty","Multi-family home for sale",799000,2,1716,"3032 Brighton 1st St","Brooklyn, NY 11235","3032 Brighton 1st St, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Brighton 1st Street","3032 Brighton 1st St, Brooklyn, NY 11235, USA",40.5778456,-73.9670934
"Brokered by Doreen Greenwood Inc.","House for sale",699000,3,1280,"20 Keen Ct","Brooklyn, NY 11229","20 Keen Ct, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"Keen Court","20 Keen Ct, Brooklyn, NY 11229, USA",40.5877725,-73.9253044
"Brokered by Robert DeFalco Realty, Inc.","House for sale",900000,2,1248,"917 Hylan Blvd","Staten Island, NY 10305","917 Hylan Blvd, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Hylan Boulevard","917 Hylan Blvd, Staten Island, NY 10305, USA",40.5981713,-74.0732699
"Brokered by Elegran Real Estate And Development","Co-op for sale",595000,1,2175,"328 W 96th St Apt 5C","New York, NY 10025","328 W 96th St Apt 5C, New York, NY 10025","New York","New York County","New York",Manhattan,328,"328 W 96th St #5c, New York, NY 10025, USA",40.7955171,-73.9745834
"Brokered by Chous Realty Group Inc","Condo for sale",269000,1,485,"2900 Ocean Ave Apt 5N","Brooklyn, NY 11235","2900 Ocean Ave Apt 5N, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",2900,"2900 Ocean Ave #5n, Brooklyn, NY 11235, USA",40.590145,-73.9499887
"Brokered by Ashford Homes","Townhouse for sale",548000,2,1354,"17 Bianca Ct","Staten Island, NY 10312","17 Bianca Ct, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Bianca Court","17 Bianca Ct, Staten Island, NY 10312, USA",40.5646084,-74.184535
"Brokered by Brown Harris Stevens","Townhouse for sale",4200000,4,4480,"164 W 88th St Unit Townhouse","Manhattan, NY 10024","164 W 88th St Unit Townhouse, Manhattan, NY 10024","United States","New York","New York County","New York","West 88th Street","164 W 88th St, New York, NY 10024, USA",40.788437,-73.9731887
"Brokered by Keller Williams Legendary","Multi-family home for sale",450000,2,2203,"93-04 177th St","Jamaica, NY 11433","93-04 177th St, Jamaica, NY 11433","United States","New York","Queens County",Queens,"177th Street","93-04 177th St, Jamaica, NY 11433, USA",40.7065602,-73.7835572
"Brokered by Real Broker NY LLC","House for sale",649999,1,2169,"118-10 202nd St","Saint Albans, NY 11412","118-10 202nd St, Saint Albans, NY 11412","United States","New York","Queens County",Queens,"202nd Street","118-10 202nd St, Jamaica, NY 11412, USA",40.6936825,-73.7495584
"Brokered by Myrta55 Real Estate - Myrta 55 Real Estate","Condo for sale",539000,1,708,"307 72nd St Apt 4B","Brooklyn, NY 11209","307 72nd St Apt 4B, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",307,"307 72nd St #4b, Brooklyn, NY 11209, USA",40.633546,-74.0266446
"Brokered by COMPASS",Pending,550000,2,1292,"21 Locust Ct","Staten Island, NY 10309","21 Locust Ct, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Locust Court","21 Locust Ct, Staten Island, NY 10309, USA",40.5482041,-74.2109853
"Brokered by RE MAX Real Estate Professionals","House for sale",1525000,2,1650,"1139 72nd St","Brooklyn, NY 11228","1139 72nd St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"72nd Street","1139 72nd St, Brooklyn, NY 11228, USA",40.6242186,-74.0088847
"Brokered by RE MAX Real Estate Professionals","Multi-family home for sale",2100000,2,2720,"1068 51st St","Brooklyn, NY 11219","1068 51st St, Brooklyn, NY 11219","United States","New York","Kings County",Brooklyn,"51st Street","1068 51st St, Brooklyn, NY 11219, USA",40.6366874,-73.9984062
"Brokered by BESMATCH REAL ESTATE","House for sale",625000,2,1944,"2249 Seward Ave","Bronx, NY 10473","2249 Seward Ave, Bronx, NY 10473","United States","New York","Bronx County","The Bronx","Seward Avenue","2249 Seward Ave, Bronx, NY 10473, USA",40.8216537,-73.8465699
"Brokered by Chase Global Realty Corp","House for sale",728888,3,1379,"135-16 221st St","Springfield Gardens, NY 11413","135-16 221st St, Springfield Gardens, NY 11413","United States","New York","Queens County",Queens,"221st Street","135-16 221st St, Jamaica, NY 11413, USA",40.6767141,-73.7492797
"Brokered by One Manhattan real estate - Upper East Side office","Co-op for sale",739000,1,2193,"529 E 84th St Apt 2B","New York, NY 10028","529 E 84th St Apt 2B, New York, NY 10028","New York","New York County","New York",Manhattan,529,"529 E 84th St #2b, New York, NY 10028, USA",40.7741621,-73.9467221
"Brokered by East Coast REALTORS Inc","Multi-family home for sale",1290000,2,2190,"45-01 Utopia Pkwy","Flushing, NY 11358","45-01 Utopia Pkwy, Flushing, NY 11358","United States","New York","Queens County",Queens,"Utopia Parkway","45-01 Utopia Pkwy, Flushing, NY 11358, USA",40.7554032,-73.7924388
"Brokered by Exp Realty","Multi-family home for sale",675000,2,1750,"756 Calhoun Ave","Bronx, NY 10465","756 Calhoun Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Calhoun Avenue","756 Calhoun Ave, Bronx, NY 10465, USA",40.8266591,-73.824848
"Brokered by Sari Kingsley, Real Estate",Contingent,950000,2,1364,"221 Edinboro Rd","Staten Island, NY 10306","221 Edinboro Rd, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Edinboro Road","221 Edinboro Rd, Staten Island, NY 10306, USA",40.5781512,-74.1348919
"Brokered by Infinity LUXXE Estates LLC","House for sale",550000,2,1221,"10229 Davenport Ct","Howard Beach, NY 11414","10229 Davenport Ct, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"Davenport Court","10229 Davenport Ct, Jamaica, NY 11414, USA",40.653784,-73.8286059
"Brokered by REALHome Services & Solutions","Multi-family home for sale",906300,4,3116,"1017 Dumont Ave","Brooklyn, NY 11208","1017 Dumont Ave, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Dumont Avenue","1017 Dumont Ave, Brooklyn, NY 11208, USA",40.668499,-73.8810259
"Brokered by Corcoran Chelsea/Flatiron","Co-op for sale",5900000,4,3000,"410 W 24th St # 18BCE","New York, NY 10011","410 W 24th St # 18BCE, New York, NY 10011","New York","New York County","New York",Manhattan,410,"410 W 24th St #18b, New York, NY 10011, USA",40.7472085,-74.0013378
"Brokered by COMPASS","Condo for sale",2700000,3,1689,"555 W 59th St Apt 19B","Manhattan, NY 10019","555 W 59th St Apt 19B, Manhattan, NY 10019","New York","New York County","New York",Manhattan,555,"555 W 59th St #19b, New York, NY 10019, USA",40.7715251,-73.9895943
"Brokered by Realty Executives Today","House for sale",659000,2,2174,"130-35 145th St","Jamaica, NY 11436","130-35 145th St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"145th Street","130-35 145th St, Jamaica, NY 11436, USA",40.6695117,-73.7942558
"Brokered by COMPASS","Co-op for sale",189990,1,2205,"151-31 88th St Unit 2F","Howard Beach, NY 11414","151-31 88th St Unit 2F, Howard Beach, NY 11414","New York","Queens County",Queens,Jamaica,151-31,"151-31 88th St #2f, Jamaica, NY 11414, USA",40.6668092,-73.8471901
"Brokered by Rock Realty Inc","Multi-family home for sale",2150000,2,2187,"12-11 Jackson Ave","Long Island City, NY 11101","12-11 Jackson Ave, Long Island City, NY 11101","United States","New York","Queens County",Queens,"Jackson Avenue","12-11 Jackson Ave, Long Island City, NY 11101, USA",40.7438369,-73.9505652
"Brokered by Douglas Elliman  -111 Fifth Ave","Co-op for sale",2100000,3,1968,"285 Riverside Dr Apt 11G","New York, NY 10025","285 Riverside Dr Apt 11G, New York, NY 10025","New York","New York County","New York",Manhattan,285,"285 Riverside Dr #11g, New York, NY 10025, USA",40.7989206,-73.9723967
"Brokered by Real Estate Authorities Inc","House for sale",499000,2,1236,"3636 Barnes Ave","Bronx, NY 10467","3636 Barnes Ave, Bronx, NY 10467","United States","New York","Bronx County","The Bronx","Barnes Avenue","3636 Barnes Ave, Bronx, NY 10467, USA",40.879318,-73.8613522
"Brokered by KELLER WILLIAMS REALTY LANDMARK II",Pending,749000,3,1368,"90-47 176th St","Jamaica, NY 11432","90-47 176th St, Jamaica, NY 11432","United States","New York","Queens County",Queens,"176th Street","9047 176th St, Jamaica, NY 11432, USA",40.7088867,-73.7844919
"Brokered by COMPASS","Townhouse for sale",1399000,2,1700,"1746 Bergen St","Brooklyn, NY 11233","1746 Bergen St, Brooklyn, NY 11233","United States","New York","Kings County",Brooklyn,"Bergen Street","1746 Bergen St, Brooklyn, NY 11233, USA",40.6745279,-73.9243055
"Brokered by CENTURY 21 Homefront","Condo for sale",639000,2,800,"144-49 Barclay Ave Unit 7B","Queens, NY 11355","144-49 Barclay Ave Unit 7B, Queens, NY 11355","New York","Queens County",Queens,Flushing,14449,"14449 Barclay Ave APT 7A, Flushing, NY 11355, USA",40.7603904,-73.8194905
